dc.contributor.advisor,dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.relation.ispartofseries,dc.title,dc.description.abstract,dc.identifier.other,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.subject,dc.contributor.other,dc.description.sponsorship,dc.rights,dc.rights.uri,dc.description,dc.identifier.citation,dc.contributor,dc.relation.isversionof,dc.description.degree,dc.relation.isreplacedby,dc.relation.uri,dc.relation.replaces,dc.relation,dc.date.updated,dc.identifier,dc.relation.isreferencedby,dc.contributor.department,dc.type,dspace.orderedauthors,dc.date.submitted,dc.contributor.editor,dc.coverage.spatial,dc.coverage.temporal,eprint.grantNumber,dc.relation.requires,dc.language.rfc3066,dc.publisher,dc.relation.haspart,dc.identifier.oclc,year,research_paper_id,text,predicted_topic
,"Tan, Godfrey",2023-03-29T15:36:12Z,2023-03-29T15:36:12Z,2002-10,https://hdl.handle.net/1721.1/149962,MIT-LCS-TR-866,Blueware: Bluetooth Simulator for ns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,161,blueware: bluetooth simulator for ns ,high performance computing
,"Katti, Sachin; Katabi, Dina; Puchala, Katarzyna",2005-12-22T02:36:13Z,2005-12-22T02:36:13Z,2005-08-15,http://hdl.handle.net/1721.1/30564,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Slicing the Onion: Anonymous Routing Without PKI,"Recent years have witnessed many proposals for anonymous routing in overlay peer-to-peer networks. The proposed protocols either expose the receiver and the message content, or require the overlay nodes to have public-private key pairs with the public keys known to everyone. In practice, however, key distribution and management are well-known difficultproblems and have crippled any widespread deployment of anonymous routing. This paper uses a combination of information slicing and source routing to provide anonymous communication in a way similar to Onion Routing but without a public key infrastructure (PKI).",MIT-CSAIL-TR-2005-053; MIT-LCS-TR-1000,7 p.; 13490568 bytes; 735059 bytes,application/postscript; application/pdf,en_US,,Networks and Mobile Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,453,"slicing the onion: anonymous routing without pki recent years have witnessed many proposals for anonymous routing in overlay peer-to-peer networks. the proposed protocols either expose the receiver and the message content, or require the overlay nodes to have public-private key pairs with the public keys known to everyone. in practice, however, key distribution and management are well-known difficultproblems and have crippled any widespread deployment of anonymous routing. this paper uses a combination of information slicing and source routing to provide anonymous communication in a way similar to onion routing but without a public key infrastructure (pki).",language models
,"Zee, Karen; Rinard, Martin",2023-03-29T15:35:09Z,2023-03-29T15:35:09Z,2002-02,https://hdl.handle.net/1721.1/149937,MIT-LCS-TR-834,Write Barrier Removal by Static Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,106,write barrier removal by static analysis ,object recognition/detection
,"Shen, Jiasi; Rinard, MArtin",2018-09-27T13:22:38Z,2018-09-27T13:22:38Z,2018-09-27,http://hdl.handle.net/1721.1/118184,,Using Dynamic Monitoring to Synthesize Models of Applications That  Access Databases,"We previously developed Konure, a tool that uses active learning to 
infer the functionality of database applications. An alternative 
approach is to observe the inputs, outputs, and database traffic from a 
running system in normal use and then synthesize a model of the 
application from this information.  To evaluate these two approaches, we 
present Etch, which uses information from typical usage scenarios to 
synthesize a model of the functionality of database applications whose 
computation can be expressed in the Konure DSL.",,,,en_US,,,,,,,,,,,,,,,,,,,Article,,,,,,,,,,,,2018,1059,"using dynamic monitoring to synthesize models of applications that  access databases we previously developed konure, a tool that uses active learning to 
infer the functionality of database applications. an alternative 
approach is to observe the inputs, outputs, and database traffic from a 
running system in normal use and then synthesize a model of the 
application from this information.  to evaluate these two approaches, we 
present etch, which uses information from typical usage scenarios to 
synthesize a model of the functionality of database applications whose 
computation can be expressed in the konure dsl.",language models
Nancy Lynch,"Canetti, Ran; Cheung, Ling; Kaynar, Dilsun; Liskov, Moses; Lynch, Nancy; Pereira, Olivier; Segala, Roberto",2006-06-19T18:52:04Z,2006-06-19T18:52:04Z,2006-06-19,http://hdl.handle.net/1721.1/33154,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Using Probabilistic I/O Automata to Analyze an Oblivious Transfer Protocol,"We demonstrate how to carry out cryptographic security analysis ofdistributed protocols within the Probabilistic I/O Automataframework of Lynch, Segala, and Vaandrager. This framework providestools for arguing rigorously about the concurrency and schedulingaspects of protocols, and about protocols presented at differentlevels of abstraction. Consequently, it can help in makingcryptographic analysis more precise and less susceptible to errors.We concentrate on a relatively simple two-party Oblivious Transferprotocol, in the presence of a semi-honest adversary (essentially,an eavesdropper). For the underlying cryptographic notion ofsecurity, we use a version of Canetti's Universally Composablesecurity.In spite of the relative simplicity of the example, the exercise isquite nontrivial. It requires taking many fundamental issues intoaccount, including nondeterministic behavior, scheduling,resource-bounded computation, and computational hardness assumptionsfor cryptographic primitives.",MIT-CSAIL-TR-2006-046,129 p.; 1111678 bytes; 7337435 bytes,application/pdf; application/postscript,en_US,,Theory of Computation,,,,,"January 10, 2006",,,,,http://hdl.handle.net/1721.1/30566,http://hdl.handle.net/1721.1/30566,,,,,,,,,,,,,,,,,,2006,526,"using probabilistic i/o automata to analyze an oblivious transfer protocol we demonstrate how to carry out cryptographic security analysis ofdistributed protocols within the probabilistic i/o automataframework of lynch, segala, and vaandrager. this framework providestools for arguing rigorously about the concurrency and schedulingaspects of protocols, and about protocols presented at differentlevels of abstraction. consequently, it can help in makingcryptographic analysis more precise and less susceptible to errors.we concentrate on a relatively simple two-party oblivious transferprotocol, in the presence of a semi-honest adversary (essentially,an eavesdropper). for the underlying cryptographic notion ofsecurity, we use a version of canetti's universally composablesecurity.in spite of the relative simplicity of the example, the exercise isquite nontrivial. it requires taking many fundamental issues intoaccount, including nondeterministic behavior, scheduling,resource-bounded computation, and computational hardness assumptionsfor cryptographic primitives.",language models
,"Liskov, Moses",2005-12-22T12:00:00Z,2005-12-22T12:00:00Z,2003-10-14,http://hdl.handle.net/1721.1/30427,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Electronic Cash with Blind Deposits: How to Have No Spare Change,"Electronic cash schemes in which the bank authenticates many coins at once suffer from the problem that coins that are authenticated together can be linked to one another. Unfortunately, unless a user spends coins in a closely prescribed manner, different batches of coins (""wallets"") will be linked together in these schemes. This is illustrated by the problem of what a customer does with the ""spare change"" - an unusable small amount of money left in a wallet. We propose a new protocol to be used in e-cash schemes: blind deposits. In a blind deposit, a customer returns a coin to the bank without revealing the coin. We present a secure and efficient e-cash scheme with this added feature based on that of Liskov-Micali [LM01].",MIT-CSAIL-TR-2003-022; MIT-LCS-TM-639,13 p.; 12754502 bytes; 526739 bytes,application/postscript; application/pdf,en_US,,Theory of Computation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,271,"electronic cash with blind deposits: how to have no spare change electronic cash schemes in which the bank authenticates many coins at once suffer from the problem that coins that are authenticated together can be linked to one another. unfortunately, unless a user spends coins in a closely prescribed manner, different batches of coins (""wallets"") will be linked together in these schemes. this is illustrated by the problem of what a customer does with the ""spare change"" - an unusable small amount of money left in a wallet. we propose a new protocol to be used in e-cash schemes: blind deposits. in a blind deposit, a customer returns a coin to the bank without revealing the coin. we present a secure and efficient e-cash scheme with this added feature based on that of liskov-micali [lm01].",language models
Joshua Tenenbaum,"Salakhutdinov, Ruslan; Hinton, Geoffrey",2010-08-04T15:15:39Z,2010-08-04T15:15:39Z,2010-08-04,http://hdl.handle.net/1721.1/57474,MIT-CSAIL-TR-2010-037,An Efficient Learning Procedure for Deep Boltzmann Machines,"We present a new learning algorithm for Boltzmann Machines that contain many layers of hidden variables. Data-dependent statistics are estimated using a variational approximation that tends to focus on a single mode, and data-independent statistics are estimated using persistent Markov chains. The use of two quite different techniques for estimating the two types of statistic that enter into the gradient of the log likelihood makes it practical to learn Boltzmann Machines with multiple hidden layers and millions of parameters. The learning can be made more efficient by using a layer-by-layer ""pre-training"" phase that initializes the weights sensibly. The pre-training also allows the variational inference to be initialized sensibly with a single bottom-up pass. We present results on the MNIST and NORB datasets showing that Deep Boltzmann Machines learn very good generative models of hand-written digits and 3-D objects. We also show that the features discovered by Deep Boltzmann Machines are a very effective way to initialize the hidden layers of feed-forward neural nets which are then discriminatively fine-tuned.",,32 p.,,,Deep learning; Graphical models; Boltzmann Machines,Computational Cognitive Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,803,"an efficient learning procedure for deep boltzmann machines we present a new learning algorithm for boltzmann machines that contain many layers of hidden variables. data-dependent statistics are estimated using a variational approximation that tends to focus on a single mode, and data-independent statistics are estimated using persistent markov chains. the use of two quite different techniques for estimating the two types of statistic that enter into the gradient of the log likelihood makes it practical to learn boltzmann machines with multiple hidden layers and millions of parameters. the learning can be made more efficient by using a layer-by-layer ""pre-training"" phase that initializes the weights sensibly. the pre-training also allows the variational inference to be initialized sensibly with a single bottom-up pass. we present results on the mnist and norb datasets showing that deep boltzmann machines learn very good generative models of hand-written digits and 3-d objects. we also show that the features discovered by deep boltzmann machines are a very effective way to initialize the hidden layers of feed-forward neural nets which are then discriminatively fine-tuned.",high performance computing
,"Keidar, Idit; Rajsbaum, Sergio",2023-03-29T15:34:18Z,2023-03-29T15:34:18Z,2001-05,https://hdl.handle.net/1721.1/149924,MIT-LCS-TR-821,On the Cost of Fault-Tolerant Consensus When There Are No Faults - A Tutorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,53,on the cost of fault-tolerant consensus when there are no faults - a tutorial ,language models
Tomaso Poggio,"Terashima, Yoshito",2009-05-11T17:30:10Z,2009-05-11T17:30:10Z,2009-05-10,http://hdl.handle.net/1721.1/45516,CBCL-277; MIT-CSAIL-TR-2009-020,Scene Classification with a Biologically Inspired Method,"We present a biologically motivated method for scene image classification. The core of the method is to use shape based image property that is provided by a hierarchical feedforward model of the visual cortex [18]. Edge based and color based image properties are additionally used to improve the accuracy. The method consists of two stages of image analysis. In the first stage, each of three paths of classification uses each image property (i.e. shape, edge or color based features) independently. In the second stage, a single classifier assigns the category of an image based on the probability distributions of the first stage classifier outputs. Experiments show that the method boosts the classification accuracy over the shape based model. We demonstrate that this method achieves a high accuracy comparable to other reported methods on publicly available color image dataset.",,8 p.,,,image classification; vision,Center for Biological and Computational Learning (CBCL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,723,"scene classification with a biologically inspired method we present a biologically motivated method for scene image classification. the core of the method is to use shape based image property that is provided by a hierarchical feedforward model of the visual cortex [18]. edge based and color based image properties are additionally used to improve the accuracy. the method consists of two stages of image analysis. in the first stage, each of three paths of classification uses each image property (i.e. shape, edge or color based features) independently. in the second stage, a single classifier assigns the category of an image based on the probability distributions of the first stage classifier outputs. experiments show that the method boosts the classification accuracy over the shape based model. we demonstrate that this method achieves a high accuracy comparable to other reported methods on publicly available color image dataset.",image classification
Silvio Micali,"Micali, Silvio; Chen, Jing",2009-12-09T21:15:08Z,2009-12-09T21:15:08Z,2009-12-04,http://hdl.handle.net/1721.1/49869,MIT-CSAIL-TR-2009-061,Perfect and General Virtual Implementation For Perfectly Informed Players,"We show that, when the players are perfectly informed about each other, essentially all social-choice functions can be rationally robustly implemented via an extensive-form public-action mechanism that (1) is perfectly robust against collusion, (2) requires only a linear number of computation steps and communication bits, and (3) preserves the privacy of the players' types to a very high extent.",,4 p.,,,rationally robust implementation; Virtual implementation; perfectly informed players,Theory of Computation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,766,"perfect and general virtual implementation for perfectly informed players we show that, when the players are perfectly informed about each other, essentially all social-choice functions can be rationally robustly implemented via an extensive-form public-action mechanism that (1) is perfectly robust against collusion, (2) requires only a linear number of computation steps and communication bits, and (3) preserves the privacy of the players' types to a very high extent.",privacy/ethics
,"Larsen, Samuel; Witchel, Emmett; Amarasinghe, Saman",2023-03-29T14:42:27Z,2023-03-29T14:42:27Z,2001-11,https://hdl.handle.net/1721.1/149310,MIT-LCS-TM-621,Techniques for Increasing and Detecting Memory Alignment,"Memory alignment is an important property in memory system performance. Extraction of alignment information at compile-time enables the possibility for new classes of program optimization. In this paper, we present methods for increasing and detecting the alignment of memory references in a program. Our transformations and analyses do not require interprocedural analysis and introduce almost no overhead. As a result, they can be incorporated into real compilation systems. On average, our techniques are able to achieve a five-fold increase in the number of dynamically aligned memory references. We are then able to detect 94% of these operations. This success is invaluable in providing performance gains in a range of different areas. When alignment information is incorporated into a vectorizing compiler, we can increase the performance of a G4 AltiVec processor by more than a factor of two. Using the same methods, we are able to reduce energy consumption in a data cache by as much as 35%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,91,"techniques for increasing and detecting memory alignment memory alignment is an important property in memory system performance. extraction of alignment information at compile-time enables the possibility for new classes of program optimization. in this paper, we present methods for increasing and detecting the alignment of memory references in a program. our transformations and analyses do not require interprocedural analysis and introduce almost no overhead. as a result, they can be incorporated into real compilation systems. on average, our techniques are able to achieve a five-fold increase in the number of dynamically aligned memory references. we are then able to detect 94% of these operations. this success is invaluable in providing performance gains in a range of different areas. when alignment information is incorporated into a vectorizing compiler, we can increase the performance of a g4 altivec processor by more than a factor of two. using the same methods, we are able to reduce energy consumption in a data cache by as much as 35%.",high performance computing
Patrick Winston,"Finlayson, Mark Alan",2016-11-08T23:00:04Z,2016-11-08T23:00:04Z,2016-11-08,http://hdl.handle.net/1721.1/105270,MIT-CSAIL-TR-2016-014,Report on the 2015 NSF Workshop on Unified Annotation Tooling,"On March 30 & 31, 2015, an international group of twenty-three researchers with expertise in linguistic annotation convened in Sunny Isles Beach, Florida to discuss problems with and potential solutions for the state of linguistic annotation tooling. The participants comprised 14 researchers from the U.S. and 9 from outside the U.S., with 7 countries and 4 continents represented, and hailed from fields and specialties including computational linguistics, artificial intelligence, speech processing, multi-modal data processing, clinical & medical natural language processing, linguistics, documentary linguistics, sign-language linguistics, corpus linguistics, and the digital humanities. The motivating problem of the workshop was the balkanization of annotation tooling, namely, that even though linguistic annotation requires sophisticated tool support to efficiently generate high-quality data, the landscape of tools for the field is fractured, incompatible, inconsistent, and lacks key capabilities. The overall goal of the workshop was to chart the way forward, centering on five key questions: (1) What are the problems with current tool landscape? (2) What are the possible benefits of solving some or all of these problems? (3) What capabilities are most needed? (4) How should we go about implementing these capabilities? And, (5) How should we ensure longevity and sustainability of the solution? I surveyed the participants before their arrival, which provided significant raw material for ideas, and the workshop discussion itself resulted in identification of ten specific classes of problems, five sets of most-needed capabilities. Importantly, we identified annotation project managers in computational linguistics as the key recipients and users of any solution, thereby succinctly addressing questions about the scope and audience of potential solutions. We discussed management and sustainability of potential solutions at length. The participants agreed on sixteen recommendations for future work. This technical report contains a detailed discussion of all these topics, a point-by-point review of the discussion in the workshop as it unfolded, detailed information on the participants and their expertise, and the summarized data from the surveys.",,61 p.,,,Linguistic Annotation; Annotation Tools & Resources; Natural Language Processing,Genesis,,Creative Commons Attribution 4.0 International,http://creativecommons.org/licenses/by/4.0/,,,,,,,,,,2016-11-08T23:00:04Z,,,,,,,,,,,,,,,,2016,1032,"report on the 2015 nsf workshop on unified annotation tooling on march 30 & 31, 2015, an international group of twenty-three researchers with expertise in linguistic annotation convened in sunny isles beach, florida to discuss problems with and potential solutions for the state of linguistic annotation tooling. the participants comprised 14 researchers from the u.s. and 9 from outside the u.s., with 7 countries and 4 continents represented, and hailed from fields and specialties including computational linguistics, artificial intelligence, speech processing, multi-modal data processing, clinical & medical natural language processing, linguistics, documentary linguistics, sign-language linguistics, corpus linguistics, and the digital humanities. the motivating problem of the workshop was the balkanization of annotation tooling, namely, that even though linguistic annotation requires sophisticated tool support to efficiently generate high-quality data, the landscape of tools for the field is fractured, incompatible, inconsistent, and lacks key capabilities. the overall goal of the workshop was to chart the way forward, centering on five key questions: (1) what are the problems with current tool landscape? (2) what are the possible benefits of solving some or all of these problems? (3) what capabilities are most needed? (4) how should we go about implementing these capabilities? and, (5) how should we ensure longevity and sustainability of the solution? i surveyed the participants before their arrival, which provided significant raw material for ideas, and the workshop discussion itself resulted in identification of ten specific classes of problems, five sets of most-needed capabilities. importantly, we identified annotation project managers in computational linguistics as the key recipients and users of any solution, thereby succinctly addressing questions about the scope and audience of potential solutions. we discussed management and sustainability of potential solutions at length. the participants agreed on sixteen recommendations for future work. this technical report contains a detailed discussion of all these topics, a point-by-point review of the discussion in the workshop as it unfolded, detailed information on the participants and their expertise, and the summarized data from the surveys.",speech/audio recognition
Martin Rinard,"Carbin, Michael; Misailovic, Sasa; Rinard, Martin",2013-06-20T17:00:08Z,2013-06-20T17:00:08Z,2013-06-19,http://hdl.handle.net/1721.1/79355,MIT-CSAIL-TR-2013-014,Verifying Quantitative Reliability of Programs That Execute on Unreliable Hardware,"Emerging high-performance architectures are anticipated to contain unreliable components that may exhibit soft errors, which silently corrupt the results of computations. Full detection and recovery from soft errors is challenging, expensive, and, for some applications, unnecessary. For example, approximate computing applications (such as multimedia processing, machine learning, and big data analytics) can often naturally tolerate soft errors. In this paper we present Rely, a programming language that enables developers to reason about the quantitative reliability of an application -- namely, the probability that it produces the correct result when executed on unreliable hardware. Rely allows developers to specify the reliability requirements for each value that a function produces. We present a static quantitative reliability analysis that verifies quantitative requirements on the reliability of an application, enabling a developer to perform sound and verified reliability engineering. The analysis takes a Rely program with a reliability specification and a hardware specification, that characterizes the reliability of the underlying hardware components, and verifies that the program satisfies its reliability specification when executed on the underlying unreliable hardware platform. We demonstrate the application of quantitative reliability analysis on six computations implemented in Rely.",,22 p.,,,"unreliable hardware, probabilistic semantics, quantitative reliability",Computer Architecture,"This research was supported in part by the National Science Foundation (Grants CCF-0905244, CCF-1036241, CCF-1138967, CCF-1138967, and IIS-0835652), the United States Department of Energy (Grant DE-SC0008923), and DARPA (Grants FA8650-11-C-7192, FA8750-12-2-0110).",,,,,,,,,,,,2013-06-20T17:00:08Z,,,,,,,,,,,,en,,,,2013,929,"verifying quantitative reliability of programs that execute on unreliable hardware emerging high-performance architectures are anticipated to contain unreliable components that may exhibit soft errors, which silently corrupt the results of computations. full detection and recovery from soft errors is challenging, expensive, and, for some applications, unnecessary. for example, approximate computing applications (such as multimedia processing, machine learning, and big data analytics) can often naturally tolerate soft errors. in this paper we present rely, a programming language that enables developers to reason about the quantitative reliability of an application -- namely, the probability that it produces the correct result when executed on unreliable hardware. rely allows developers to specify the reliability requirements for each value that a function produces. we present a static quantitative reliability analysis that verifies quantitative requirements on the reliability of an application, enabling a developer to perform sound and verified reliability engineering. the analysis takes a rely program with a reliability specification and a hardware specification, that characterizes the reliability of the underlying hardware components, and verifies that the program satisfies its reliability specification when executed on the underlying unreliable hardware platform. we demonstrate the application of quantitative reliability analysis on six computations implemented in rely.",language models
Saman Amarasinghe,"Amarasinghe, Saman; Rabbah, Rodric; Larsen, Samuel",2009-12-18T19:30:12Z,2009-12-18T19:30:12Z,2009-12-18,http://hdl.handle.net/1721.1/50235,MIT-CSAIL-TR-2009-064,Selective Vectorization for Short-Vector Instructions,"Multimedia extensions are nearly ubiquitous in today's general-purpose processors. These extensions consist primarily of a set of short-vector instructions that apply the same opcode to a vector of operands. Vector instructions introduce a data-parallel component to processors that exploit instruction-level parallelism, and present an opportunity for increased performance. In fact, ignoring a processor's vector opcodes can leave a significant portion of the available resources unused. In order for software developers to find short-vector instructions generally useful, however, the compiler must target these extensions with complete transparency and consistent performance. This paper describes selective vectorization, a technique for balancing computation across a processor's scalar and vector units. Current approaches for targeting short-vector instructions directly adopt vectorizing technology first developed for supercomputers. Traditional vectorization, however, can lead to a performance degradation since it fails to account for a processor's scalar resources. We formulate selective vectorization in the context of software pipelining. Our approach creates software pipelines with shorter initiation intervals, and therefore, higher performance. A key aspect of selective vectorization is its ability to manage transfer of operands between vector and scalar instructions. Even when operand transfer is expensive, our technique is sufficiently sophisticated to achieve significant performance gains. We evaluate selective vectorization on a set of SPEC FP benchmarks. On a realistic VLIW processor model, the approach achieves whole-program speedups of up to 1.35x over existing approaches. For individual loops, it provides speedups of up to 1.75x.",,25 p.,,,SIMD; Vectorization; Compiler,Computer Architecture,,Creative Commons Attribution 3.0 Unported,http://creativecommons.org/licenses/by/3.0/,,,,,,,,,,,,,,,,,,,,,,,,,,2009,769,"selective vectorization for short-vector instructions multimedia extensions are nearly ubiquitous in today's general-purpose processors. these extensions consist primarily of a set of short-vector instructions that apply the same opcode to a vector of operands. vector instructions introduce a data-parallel component to processors that exploit instruction-level parallelism, and present an opportunity for increased performance. in fact, ignoring a processor's vector opcodes can leave a significant portion of the available resources unused. in order for software developers to find short-vector instructions generally useful, however, the compiler must target these extensions with complete transparency and consistent performance. this paper describes selective vectorization, a technique for balancing computation across a processor's scalar and vector units. current approaches for targeting short-vector instructions directly adopt vectorizing technology first developed for supercomputers. traditional vectorization, however, can lead to a performance degradation since it fails to account for a processor's scalar resources. we formulate selective vectorization in the context of software pipelining. our approach creates software pipelines with shorter initiation intervals, and therefore, higher performance. a key aspect of selective vectorization is its ability to manage transfer of operands between vector and scalar instructions. even when operand transfer is expensive, our technique is sufficiently sophisticated to achieve significant performance gains. we evaluate selective vectorization on a set of spec fp benchmarks. on a realistic vliw processor model, the approach achieves whole-program speedups of up to 1.35x over existing approaches. for individual loops, it provides speedups of up to 1.75x.",high performance computing
Anant Agarwal,"Hoffmann, Henry; Maggio, Martina; Santambrogio, Marco D.; Leva, Alberto; Agarwal, Anant",2010-10-22T23:15:19Z,2010-10-22T23:15:19Z,2010-10-13,http://hdl.handle.net/1721.1/59519,MIT-CSAIL-TR-2010-049,SEEC: A Framework for Self-aware Computing,"As the complexity of computing systems increases, application programmers must be experts in their application domain and have the systems knowledge required to address the problems that arise from parallelism, power, energy, and reliability concerns. One approach to relieving this burden is to make use of self-aware computing systems, which automatically adjust their behavior to help applications achieve their goals. This paper presents the SEEC framework, a unified computational model designed to enable self-aware computing in both applications and system software. In the SEEC model, applications specify goals, system software specifies possible actions, and the SEEC framework is responsible for deciding how to use the available actions to meet the application-specified goals. The SEEC framework is built around a general and extensible control system which provides predictable behavior and allows SEEC to make decisions that achieve goals while optimizing resource utilization. To demonstrate the applicability of the SEEC framework, this paper presents fivedifferent self-aware systems built using SEEC. Case studies demonstrate how these systems can control the performance of the PARSEC benchmarks, optimize performance per Watt for a video encoder, and respond to unexpected changes in the underlying environment. In general these studies demonstrate that systems built using the SEEC framework are goal-oriented, predictable, adaptive, and extensible.",,13 p.,,,Autonomic Computing; Adaptive Computing; Multicore; Control Theory,Computer Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,816,"seec: a framework for self-aware computing as the complexity of computing systems increases, application programmers must be experts in their application domain and have the systems knowledge required to address the problems that arise from parallelism, power, energy, and reliability concerns. one approach to relieving this burden is to make use of self-aware computing systems, which automatically adjust their behavior to help applications achieve their goals. this paper presents the seec framework, a unified computational model designed to enable self-aware computing in both applications and system software. in the seec model, applications specify goals, system software specifies possible actions, and the seec framework is responsible for deciding how to use the available actions to meet the application-specified goals. the seec framework is built around a general and extensible control system which provides predictable behavior and allows seec to make decisions that achieve goals while optimizing resource utilization. to demonstrate the applicability of the seec framework, this paper presents fivedifferent self-aware systems built using seec. case studies demonstrate how these systems can control the performance of the parsec benchmarks, optimize performance per watt for a video encoder, and respond to unexpected changes in the underlying environment. in general these studies demonstrate that systems built using the seec framework are goal-oriented, predictable, adaptive, and extensible.",high performance computing
Tomaso Poggio,"Mroueh, Youssef; Poggio, Tomaso; Rosasco, Lorenzo; Slotine, Jean-Jacques E.",2011-09-27T20:30:07Z,2011-09-27T20:30:07Z,2011-09-27,http://hdl.handle.net/1721.1/66085,MIT-CSAIL-TR-2011-043; CBCL-305,Multi-Class Learning: Simplex Coding And Relaxation Error,"We study multi-category classification in the framework of computational learning theory. We show how a relaxation approach, which is commonly used in binary classification, can be generalized to the multi-class setting. We propose a vector coding, namely the simplex coding, that allows to introduce a new notion of multi-class margin and cast multi-category classification into a vector valued regression problem. The analysis of the relaxation error be quantified and the binary case is recovered as a special case of our theory. From a computational point of view we can show that using the simplex coding we can design regularized learning algorithms for multi-category classification that can be trained at a complexity which is independent to the number of classes.",,3 p.,,,computational learning; machine learning; convex relaxation,Center for Biological and Computational Learning (CBCL),,,,,,,,,,,,,,,,,,,,,,,,,en-US,,,,2011,870,"multi-class learning: simplex coding and relaxation error we study multi-category classification in the framework of computational learning theory. we show how a relaxation approach, which is commonly used in binary classification, can be generalized to the multi-class setting. we propose a vector coding, namely the simplex coding, that allows to introduce a new notion of multi-class margin and cast multi-category classification into a vector valued regression problem. the analysis of the relaxation error be quantified and the binary case is recovered as a special case of our theory. from a computational point of view we can show that using the simplex coding we can design regularized learning algorithms for multi-category classification that can be trained at a complexity which is independent to the number of classes.",high performance computing
