dc.contributor.advisor,dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.relation.ispartofseries,dc.title,dc.description.abstract,dc.identifier.other,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.subject,dc.contributor.other,dc.description.sponsorship,dc.rights,dc.rights.uri,dc.description,dc.identifier.citation,dc.contributor,dc.relation.isversionof,dc.description.degree,dc.relation.isreplacedby,dc.relation.uri,dc.relation.replaces,dc.relation,dc.date.updated,dc.identifier,dc.relation.isreferencedby,dc.contributor.department,dc.type,dspace.orderedauthors,dc.date.submitted,dc.contributor.editor,dc.coverage.spatial,dc.coverage.temporal,eprint.grantNumber,dc.relation.requires,dc.language.rfc3066,dc.publisher,dc.relation.haspart,dc.identifier.oclc
Trevor Darrell,"Lee, John J.",2008-04-07T20:45:20Z,2008-04-07T20:45:20Z,2008-04-07,http://hdl.handle.net/1721.1/41070,,LIBPMK: A Pyramid Match Toolkit,"LIBPMK is a C++ implementation of Grauman and Darrell's pyramid match algorithm. This toolkit provides a flexible framework with which developers can quickly match sets of image features and run experiments. LIBPMK provides functionality for $k$-means and hierarchical clustering, dealing with data sets too large to fit in memory, building multi-resolution histograms, quickly performing pyramid matches, and training and testing support vector machines (SVMs). This report provides a tutorial on how to use the LIBPMK code, and gives the specifications of the LIBPMK API.",MIT-CSAIL-TR-2008-017,217 p.,,,pmk; vgpmk; pyramid match kernel,Vision,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
Dina Katabi,"Katabi, Dina; Gollakota, Shyamnath",2008-04-08T19:15:18Z,2008-04-08T19:15:18Z,2008-04-08,http://hdl.handle.net/1721.1/41084,,ZigZag Decoding: Combating Hidden Terminals in Wireless Networks,"This paper presents ZigZag, an 802.11 receiver that combats hidden terminals. ZigZag exploits 802.11 retransmissions which, in the case of hidden terminals, cause successive collisions. Due to asynchrony, these collisions have different interference-free stretches at their start, which ZigZag uses to bootstrap its decoding.  ZigZag makes no changes to the 802.11 MAC and introduces no overhead when there are no collisions. But, when senders collide, ZigZag attains the same throughput as if the colliding packets were a priori scheduled in separate time slots. We build a prototype of ZigZag in GNU Radio. In a testbed of 14 USRP nodes, ZigZag reduces the average packet loss rate at hidden terminals from 82.3% to about 0.7%.",MIT-CSAIL-TR-2008-018,14 p.,,,Hidden Terminals; Software Radios; Wireless Networks,Networks & Mobile Systems,,,,,,,,,http://hdl.handle.net/1721.1/42842,http://hdl.handle.net/1721.1/42842,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
Tomaso Poggio,"Bileschi, Stanley M",2008-04-09T20:15:10Z,2008-04-09T20:15:10Z,2008-04-09,http://hdl.handle.net/1721.1/41093,,A Multi-Scale Generalization of the HoG and HMAX Image Descriptors for Object Detection,"Recently, several powerful image features have been proposed whichcan be described as spatial histograms of oriented energy. Forinstance, the HoG, HMAX C1, SIFT, and Shape Context feature allrepresent an input image using with a discrete set of bins whichaccumulate evidence for oriented structures over a spatial regionand a range of orientations. In this work, we generalize thesetechniques to allow for a foveated input image, rather than arectilinear raster. It will be shown that improved object detectionaccuracy can be achieved via inputting a spectrum of imagemeasurements, from sharp, fine-scale image sampling within a smallspatial region within the target to coarse-scale sampling of a widefield of view around the target. Several alternative featuregeneration algorithms are proposed and tested which suitably makeuse of foveated image inputs. In the experiments we show thatfeatures generated from the foveated input format produce detectorsof greater accuracy, as measured for four object types from commonlyavailable data-sets. Finally, a flexible algorithm for generatingfeatures is described and tested which is independent of inputtopology and uses ICA to learn appropriate filters.",MIT-CSAIL-TR-2008-019; CBCL-271,8 p.,,,"Object Detection, ICA, Multi-Scale, Image Features",Center for Biological and Computational Learning (CBCL),,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
Trevor Darrell,"Urtasun, Raquel; Quattoni, Ariadna; Lawrence, Neil; Darrell, Trevor",2008-05-05T15:46:05Z,2008-05-05T15:46:05Z,2008-04-11,http://hdl.handle.net/1721.1/41517,,Transferring Nonlinear Representations using Gaussian Processes with a Shared Latent Space,"When a series of problems are related, representations derived from learning earlier tasks may be useful in solving later problems. In this paper we propose a novel approach to transfer learning with low-dimensional, non-linear latent spaces. We show how such representations can be jointly learned across multiple tasks in a Gaussian Process framework. When transferred to new tasks with relatively few training examples, learning can be faster and/or more accurate. Experiments on digit recognition and newsgroup classification tasks show significantly improved performance when compared to baseline performance with a representation derived from a semi-supervised learning approach or with a discriminative approach that uses only the target data.",MIT-CSAIL-TR-2008-020,10 p.,,,,Vision,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
William Freeman,"Levin, Anat; Freeman, William T.; Durand, Fredo",2008-05-05T15:45:16Z,2008-05-05T15:45:16Z,2008-04-16,http://hdl.handle.net/1721.1/41513,,Understanding camera trade-offs through a Bayesian analysis of light field projections,"Computer vision has traditionally focused on extracting structure,such as depth, from images acquired using thin-lens or pinhole optics. The development of computational imaging is broadening this scope; a variety of unconventional cameras do not directly capture a traditional image anymore, but instead require the joint reconstruction of structure and image information. For example, recent coded aperture designs have been optimized to facilitate the joint reconstruction of depth and intensity. The breadth of imaging designs requires new tools to understand the tradeoffs implied by different strategies.This paper introduces a unified framework for analyzing computational imagingapproaches. Each sensor element is modeled as an inner product over the 4D light field. The imaging task is then posed as Bayesian inference: given the observed noisy light field projections and a new prior on light field signals, estimatethe original light field. Under common imaging conditions, we compare the performance of various camera designs using 2D light field simulations. This framework allows us to better understand the tradeoffs of each camera type andanalyze their limitations.",MIT-CSAIL-TR-2008-021,21 p.,,,,Vision,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
Shafi Goldwasser,"Pass, Rafael; Vaikuntanathan, Vinod",2008-05-05T15:46:14Z,2008-05-05T15:46:14Z,2008-04-16,http://hdl.handle.net/1721.1/41518,,New-Age Cryptography,"We introduce new and general complexity theoretic hardness assumptions. These assumptions abstract out concrete properties of a random oracle and are significantly stronger than traditional cryptographic hardness assumptions; however, assuming their validity we can resolve a number of longstandingopen problems in cryptography.",MIT-CSAIL-TR-2008-022,28 pp.,,,"Cryptographic Assumptions, Non-malleable Commitment, Non-malleable Zero-knowledge",Theory of Computation,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
Silvio Micali,"Chen, Jing",2008-05-05T15:45:41Z,2008-05-05T15:45:41Z,2008-05-01,http://hdl.handle.net/1721.1/41515,,Generalization of the MV Mechanism,"Micali and Valiant proposed a mechanism for combinatorial auctions that is dominant-strategy truthful, guarantees reasonably high revenue, and is very resilient against collusions. Their mechanism, however, uses as a subroutine the VCG mechanism, that is not polynomial time.We propose a modification of their mechanism that is efficient, while retaining their collusion resilience and a good fraction of their revenue, if given as a subroutine an efficient approximation of the VCG mechanism.",MIT-CSAIL-TR-2008-023,7 p.,,,,Theory of Computation,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
Piotr Indyk,"Andoni, Alexandr; Ba, Khanh Do; Indyk, Piotr",2008-05-05T15:45:27Z,2008-05-05T15:45:27Z,2008-05-02,http://hdl.handle.net/1721.1/41514,,Block Heavy Hitters,"e study a natural generalization of the heavy hitters problem in thestreaming context. We term this generalization *block heavy hitters* and define it as follows. We are to stream over a matrix$A$, and report all *rows* that are heavy, where a row is heavy ifits ell_1-norm is at least phi fraction of the ell_1 norm ofthe entire matrix $A$. In comparison, in the standard heavy hittersproblem, we are required to report the matrix *entries* that areheavy. As is common in streaming, we solve the problem approximately:we return all rows with weight at least phi, but also possibly someother rows that have weight no less than (1-eps)phi. To solve theblock heavy hitters problem, we show how to construct a linear sketchof A from which we can recover the heavy rows of A.The block heavy hitters problem has already found applications forother streaming problems. In particular, it is a crucial buildingblock in a streaming algorithm that constructs asmall-size sketch for the Ulam metric, a metric on non-repetitivestrings under the edit (Levenshtein) distance.",MIT-CSAIL-TR-2008-024,3 p.,,,,Theory of Computation,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
Leslie Kaelbling,"McAllester, David; Milch, Brian; Goodman, Noah D.",2008-05-05T15:45:52Z,2008-05-05T15:45:52Z,2008-05-03,http://hdl.handle.net/1721.1/41516,,Random-World Semantics and Syntactic Independence for Expressive Languages,"We consider three desiderata for a language combining logic and probability: logical expressivity, random-world semantics, and the existence of a useful syntactic condition for probabilistic independence. Achieving these three desiderata simultaneously is nontrivial. Expressivity can be achieved by using a formalism similar to a programming language, but standard approaches to combining programming languages with probabilities sacrifice random-world semantics. Naive approaches to restoring random-world semantics undermine syntactic independence criteria. Our main result is a syntactic independence criterion that holds for a broad class of highly expressive logics under random-world semantics. We explore various examples including Bayesian networks, probabilistic context-free grammars, and an example from Mendelian genetics. Our independence criterion supports a case-factor inference technique that reproduces both variable elimination for BNs and the inside algorithm for PCFGs.",MIT-CSAIL-TR-2008-025,6 p.,,,,Learning and Intelligent Systems,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
Trevor Darrell,"Lee, John J.",2008-05-06T23:00:12Z,2008-05-06T23:00:12Z,2008-05-06,http://hdl.handle.net/1721.1/41519,,Efficient Object Recognition and Image Retrieval for Large-Scale Applications,"Algorithms for recognition and retrieval tasks generally call for both speed and accuracy. When scaling up to very large applications, however, we encounter additional significant requirements: adaptability and scalability. In many real-world systems, large numbers of images are constantly added to the database, requiring the algorithm to quickly tune itself to recent trends so it can serve queries more effectively. Moreover, the systems need to be able to meet the demands of simultaneous queries from many users. In this thesis, I describe two new algorithms intended to meet these requirements and give an extensive experimental evaluation for both. The first algorithm constructs an adaptive vocabulary forest, which is an efficient image-database model that grows and shrinks as needed while adapting its structure to tune itself to recent trends. The second algorithm is a method for efficiently performing classification tasks by comparing query images to only afixed number of training examples, regardless of the size of the image database. These two methods can be combined to create a fast, adaptable, and scalable vision system suitable for large-scale applications. I also introduce LIBPMK, a fast implementation of common computer vision processing pipelines such as that of the pyramid match kernel. This implementation was used to build several successful interactive applications as well as batch experiments for research settings. This implementation, in addition to the two new algorithms introduced by this thesis, are a step toward meeting the speed, adaptability, and scalability requirements of practical large-scale vision systems.",MIT-CSAIL-TR-2008-026,93 p.,,,,Vision,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
Randall Davis,"Eisenstein, Jacob",2008-05-08T16:30:14Z,2008-05-08T16:30:14Z,2008-05-07,http://hdl.handle.net/1721.1/41526,,Gesture in Automatic Discourse Processing,"Computers cannot fully understand spoken language without access to the wide range of modalities that accompany speech. This thesis addresses the particularly expressive modality of hand gesture, and focuses on building structured statistical models at the intersection of speech, vision, and meaning.My approach is distinguished in two key respects. First, gestural patterns are leveraged to discover parallel structures in the meaning of the associated speech. This differs from prior work that attempted to interpret individual gestures directly, an approach that was prone to a lack of generality across speakers. Second, I present novel, structured statistical models for multimodal language processing, which enable learning about gesture in its linguistic context, rather than in the abstract.These ideas find successful application in a variety of language processing tasks: resolving ambiguous noun phrases, segmenting speech into topics, and producing keyframe summaries of spoken language. In all three cases, the addition of gestural features -- extracted automatically from video -- yields significantly improved performance over a state-of-the-art text-only alternative. This marks the first demonstration that hand gesture improves automatic discourse processing.",MIT-CSAIL-TR-2008-027,153 p.,,,,Natural Language Processing,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
Leslie Kaelbling,"Milch, Brian; Koller, Daphne",2008-05-13T16:00:19Z,2008-05-13T16:00:19Z,2008-05-12,http://hdl.handle.net/1721.1/41530,,Ignorable Information in Multi-Agent Scenarios,"In some multi-agent scenarios, identifying observations that an agent can safely ignore reduces exponentially the size of the agent's strategy space and hence the time required to find a Nash equilibrium. We consider games represented using the multi-agent influence diagram (MAID) framework of Koller and Milch [2001], and analyze the extent to which information edges can be eliminated. We define a notion of a safe edge removal transformation, where all equilibria in the reduced model are also equilibria in the original model. We show that existing edge removal algorithms for influence diagrams are safe, but limited, in that they do not detect certain cases where edges can be removed safely. We describe an algorithm that produces the ""minimal"" safe reduction, which removes as many edges as possible while still preserving safety. Finally, we note that both the existing edge removal algorithms and our new one can eliminate equilibria where agents coordinate their actions by conditioning on irrelevant information. Surprisingly, in some games these ""lost"" equilibria can be preferred by all agents in the game.",MIT-CSAIL-TR-2008-029,16 p.,,,Multi-agent influence diagrams; Irrelevance,Learning and Intelligent Systems,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
Silvio Micali,"Chen, Jing; Micali, Silvio",2008-07-09T22:15:19Z,2008-07-09T22:15:19Z,2008-06,http://hdl.handle.net/1721.1/41877,,Knowledge Benchmarks in Adversarial Mechanism Design and Implementation in Surviving Strategies (Part I),"We put forward new benchmarks and solution concepts for Adversarial Mechanism Design, as defined by [MV07.a], and we exemplify them in the case of truly combinatorial auctions.We benchmark the combined performance (the sum of the auction's efficiency and revenue) of a truly combinatorial auction against a very relevant but private knowledge of the players: essentially, the maximum revenue that the best informed player could guarantee if he were the seller. (I.e., by offering each other player a subset of the goods for a take-it-or-leave-it price.)We achieve this natural benchmark within a factor of 2, by means of a new and probabilistic auction mechanism, in surviving strategies. That is, the above performance of our mechanism is guaranteed in any rational play, independent of any possible beliefs of the players. Indeed, our performance guarantee holds for any possible choice of strategies, so long as each player chooses a strategy among those surviving iterated elimination of dominated strategies.Our mechanism is extremely robust. Namely, its performance guarantees hold even if all but one of the players collude (together or in separate groups) in any possible but reasonable way. Essentially, the only restriction for the collective utility function of a collusive subset S of the players is the following: the collective utility increases when one member of S is allocated a ubset of the goods ""individually better"" for him and/or his ""individual price"" is smaller, while the allocations and prices of all other members of S stay the same.Our results improve on the yet unpublished ones of [MV07.b]. The second part of this paper, dealing with a more aggressive benchmark (essentially, the maximum welfare privately known to the players) is forthcoming.",MIT-CSAIL-TR-2008-041,17 p.,,,,Theory of Computation,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
Hari Balakrishnan,"Jamieson, Kyle",2008-06-05T18:00:27Z,2008-06-05T18:00:27Z,2008-06-03,http://hdl.handle.net/1721.1/41857,,The SoftPHY Abstraction: from Packets to Symbols in Wireless Network Design,"At ever-increasing rates, we are using wireless systems to communicatewith others and retrieve content of interest to us. Current wirelesstechnologies such as WiFi or Zigbee use forward error correction todrive bit error rates down when there are few interferingtransmissions. However, as more of us use wireless networks toretrieve increasingly rich content, interference increases inunpredictable ways. This results in errored bits, degradedthroughput, and eventually, an unusable network. We observe that thisis the result of higher layers working at the packet granularity,whereas they would benefit from a shift in perspective from wholepackets to individual symbols.From real-world experiments on a 31-node testbed of Zigbee andsoftware-defined radios, we find that often, not all of the bitsin corrupted packets share fate. Thus, today's wireless protocolsretransmit packets where only a small number of the constituent bitsin a packet are in error, wasting network resources. In thisdissertation, we will describe a physical layer that passesinformation about its confidence in each decoded symbol up to higherlayers. These SoftPHY hints have many applications, one ofwhich, more efficient link-layer retransmissions, we will describe indetail. PP-ARQ is a link-layer reliable retransmission protocolthat allows a receiver to compactly encode a request forretransmission of only the bits in a packet that are likely in error.Our experimental results show that PP-ARQ increases aggregate networkthroughput by a factor of approximately 2x under variousconditions. Finally, we will place our contributions in the contextof related work and discuss other uses of SoftPHY throughout thewireless networking stack.",MIT-CSAIL-TR-2008-031,153 p.,,,802.11; 802.15.4,Networks & Mobile Systems,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
Seth Teller,"Huang, Albert S.; Teller, Seth",2008-06-11T20:15:09Z,2008-06-11T20:15:09Z,2008-06-06,http://hdl.handle.net/1721.1/41860,,Non-Metrical Navigation Through Visual Path Control,"We describe a new method for wide-area, non-metrical robot navigationwhich enables useful, purposeful motion indoors. Our method has twophases: a training phase, in which a human user directs a wheeledrobot with an attached camera through an environment while occasionallysupplying textual place names; and a navigation phase in which theuser specifies goal place names (again as text), and the robot issueslow-level motion control in order to move to the specified place. We show thatdifferences in the visual-field locations and scales of features matched acrosstraining and navigation can be used to construct a simple and robust controlrule that guides the robot onto and along the training motion path.Our method uses an omnidirectional camera, requires approximateintrinsic and extrinsic camera calibration, and is capable of effective motioncontrol within an extended, minimally-prepared building environment floorplan.We give results for deployment within a single building floor with 7 rooms, 6corridor segments, and 15 distinct place names.",MIT-CSAIL-TR-2008-032,8 p.,,,,"Robotics, Vision & Sensor Networks",,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
Trevor Darrell,"Yeh, Tom; Lee, John J.; Darrell, Trevor",2008-06-11T20:15:30Z,2008-06-11T20:15:30Z,2008-06-10,http://hdl.handle.net/1721.1/41862,,Fast concurrent object classification and localization,"Object localization and classification are important problems incomputer vision. However, in many applications, exhaustive searchover all class labels and image locations is computationallyprohibitive. While several methods have been proposed to makeeither classification or localization more efficient, few havedealt with both tasks simultaneously. This paper proposes anefficient method for concurrent object localization andclassification based on a data-dependent multi-classbranch-and-bound formalism. Existing bag-of-featuresclassification schemes, which can be expressed as weightedcombinations of feature counts can be readily adapted to ourmethod. We present experimental results that demonstrate the meritof our algorithm in terms of classification accuracy, localizationaccuracy, and speed, compared to baseline approaches includingexhaustive search, the ISM method, and single-class branch andbound.",MIT-CSAIL-TR-2008-033,9 p.,,,,Vision,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
Karen Sollins,"Li, Ji",2008-06-11T20:15:18Z,2008-06-11T20:15:18Z,2008-06-11,http://hdl.handle.net/1721.1/41861,,Agent Organization in the Knowledge Plane,"In designing and building a network like the Internet, we continue to face the problems of scale and distribution. With the dramatic expansion in scale and heterogeneity of the Internet, network management has become an increasingly difficult task. Furthermore, network applications often need to maintain efficient organization among the participants by collecting information from the underlying networks. Such individual information collection activities lead to duplicate efforts and contention for network resources.The Knowledge Plane (KP) is a new common construct that provides knowledge and expertise to meet the functional, policy and scaling requirements of network management, as well as to create synergy and exploit commonality among many network applications. To achieve these goals, we face many challenging problems, including widely distributed data collection, efficient processing of that data, wide availability of the expertise, etc.In this thesis, to provide better support for network management and large-scale network applications, I propose a knowledge plane architecture that consists of a network knowledge plane (NetKP) at the network layer, and on top of it, multiple specialized KPs (spec-KPs). The NetKP organizes agents to provide valuable knowledge and facilities about the Internet to the spec-KPs. Each spec-KP is specialized in its own area of interest. In both the NetKP and the spec-KPs, agents are organized into regions based on different sets of constraints. I focus on two key design issues in the NetKP: (1) a regionbased architecture for agent organization, in which I design an efficient and non-intrusive organization among regions that combines network topology and a distributed hash table; (2) request and knowledge dissemination, in which I design a robust and efficient broadcast and aggregation mechanism using a tree structure among regions. In the spec-KPs, I build two examples: experiment management on the PlanetLab testbed and distributed intrusion detection on the DETER testbed. The experiment results suggest a common approach driven by the design principles of the Internet and more specialized constraints can derive productive organization for network management and applications.",MIT-CSAIL-TR-2008-034,191 p.,,,broadcast; region; knowledge plane; network pnowledge plane; agent; intrusion detection; specialized knowledge plane; distributed hash table; aggregation,Advanced Network Architecture,,,,,,,,,,,,; Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,,,,,,,,,,,,,,,
Chris Terman,"Carli, Roberto",2008-07-02T06:00:36Z,2008-07-02T06:00:36Z,2008-06-16,http://hdl.handle.net/1721.1/41874,,Flexible MIPS Soft Processor Architecture,"The flexible MIPS soft processor architecture borrows selected technologies from high-performance computing to deliver a modular, highly customizable CPU targeted towards FPGA implementations for embedded systems; the objective is to provide a more flexible architectural alternative to coprocessor-based solutions. The processor performs out-of-order execution on parallel functional units, it delivers in-order instruction commit and it is compatible with the MIPS-1 Instruction Set Architecture. Amongst many available options, the user can introduce custom instructions and matching functional units; modify existing units; change the pipelining depth within functional units to any fixed or variable value; customize instruction definitions in terms of operands, control signals and register file interaction; insert multiple redundant functional units for improved performance. The flexibility provided by the architecture allows the user to expand the processor functionality to implement instructions of coprocessor-level complexity through additional functional units. The processor design was implemented and simulated on two FPGA platforms, tested on multiple applications, and compared to three commercially available soft processor solutions in terms of features, area, clock frequency and benchmark performance.",MIT-CSAIL-TR-2008-036,49 p.,,,,Computer Architecture,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
Silvio Micali,"Chen, Jing; Micali, Silvio",2008-07-02T06:00:46Z,2008-07-02T06:00:46Z,2008-06-17,http://hdl.handle.net/1721.1/41875,,Leveraging Player Knowledge in Combinatorial Auctions (and Implementation in Surviving Strategies),,MIT-CSAIL-TR-2008-037,6 p.,,,,Theory of Computation,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
Eric Grimson,"Grimson, Eric; Wang, Xiaogang; Ng, Gee-Wah; Ma, Keng Teck",2008-03-17T19:15:17Z,2008-03-17T19:15:17Z,2008-06-24,http://hdl.handle.net/1721.1/40808,,Trajectory Analysis and Semantic Region Modeling Using A Nonparametric Bayesian Model,"We propose a novel nonparametric Bayesian model, Dual Hierarchical Dirichlet Processes (Dual-HDP), for trajectory analysis and semantic region modeling in surveillance settings, in an unsupervised way. In our approach, trajectories are treated as documents and observations of an object on a trajectory are treated as words in a document. Trajectories are clustered into different activities. Abnormal trajectories are detected as samples with low likelihoods. The semantic regions, which are intersections of paths commonly taken by objects, related to activities in the scene are also modeled. Dual-HDP advances the existing Hierarchical Dirichlet Processes (HDP) language model. HDP only clusters co-occurring words from documents into topics and automatically decides the number of topics. Dual-HDP co-clusters both words and documents. It learns both the numbers of word topics and document clusters from data. Under our problem settings, HDP only clusters observations of objects, while Dual-HDP clusters both observations and trajectories. Experiments are evaluated on two data sets, radar tracks collected from a maritime port and visual tracks collected from a parking lot.",MIT-CSAIL-TR-2008-015,12 p.,,,"hierarchical Dirichlet processes, activity analysis, clustering, visual surveillance",Vision,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
Barbara Liskov,"Vandiver, Benjamin Mead",2008-07-02T06:00:10Z,2008-07-02T06:00:10Z,2008-06-30,http://hdl.handle.net/1721.1/41873,,Detecting and Tolerating Byzantine Faults in Database Systems,"This thesis describes the design, implementation, and evaluation of a replication scheme to handle Byzantine faults in transaction processing database systems. The scheme compares answers from queries and updates on multiple replicas which are off-the-shelf database systems, to provide a single database that is Byzantine fault tolerant. The scheme works when the replicas are homogeneous, but it also allows heterogeneous replication in which replicas come from different vendors. Heterogeneous replicas reduce the impact of bugs and security compromises because they are implemented independently and are thus less likely to suffer correlated failures. A final component of the scheme is a repair mechanism that can correct the state of a faulty replica, ensuring the longevity of the scheme.The main challenge in designing a replication scheme for transaction processingsystems is ensuring that the replicas state does not diverge while allowing a high degree of concurrency. We have developed two novel concurrency control protocols, commit barrier scheduling (CBS) and snapshot epoch scheduling (SES) that provide strong consistency and good performance. The two protocols provide different types of consistency: CBS provides single-copy serializability and SES provides single-copy snapshot isolation. We have implemented both protocols in the context of a replicated SQL database. Our implementation has been tested with production versions of several commercial and open source databases as replicas. Our experiments show a configuration that can tolerate one faulty replica has only a modest performance overhead (about 10-20% for the TPC-C benchmark). Our implementation successfully masks several Byzantine faults observed in practice and we have used it to find a new bug in MySQL.",MIT-CSAIL-TR-2008-040,174 p.,,,,Programming Methodology,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
Silvio Micali,"Chen, Jing; Micali, Silvio",2008-07-14T19:45:18Z,2008-07-14T19:45:18Z,2008-07,http://hdl.handle.net/1721.1/41878,,Knowledge Benchmarks in Adversarial Mechanism Design (Part I) and Implementation in Surviving Strategies (Part I),"We put forward new benchmarks and solution concepts for Adversarial Mechanism Design, as defined by [MV07.a], and we exemplify them in the case of truly combinatorial auctions.We benchmark the combined performance (the sum of the auction's effciency and revenue)of a truly combinatorial auction against a very relevant but private knowledge of the players: essentially, the maximum revenue that the best informed player could guarantee if he were the seller. (I.e., by offering each other player a subset of the goods for a take-it-or-leave-it price.) We achieve this natural benchmark within a factor of 2, by means of a new and probabilisticauction mechanism, in KNOWLINGLY SURVIVING STRATEGIES. That is, the above performance of our mechanism is guaranteed in any rational play, independent of any possible beliefs of the players. Indeed, our performance guarantee holds for any possible choice of strategies, so long as each player chooses a strategy among those surviving iterated elimination of knowingly dominated strategies.Our mechanism is extremely robust. Namely, its performance guarantees hold even if all but one of the players collude (together or in separate groups) in any possible but reasonable way. Essentially, the only restriction for the collective utility function of a collusive subset S of the players is the following: the collective utility increases when one member of S is allocated asubset of the goods ""individually better"" for him and/or his ""individual price"" is smaller, while the allocations and prices of all other members of S stay the same.Our results improve on the yet unpublished ones of [MV07.b]. The second part of this paper, dealing with a more aggressive benchmark (essentially, the maximum welfare privately known to the players) is forthcoming.",MIT-CSAIL-TR-2008-042,30 p.,,,,Theory of Computation,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
Gerald Sussman,"Qumsiyeh, Dany M.",2008-07-16T20:15:24Z,2008-07-16T20:15:24Z,2008-07-14,http://hdl.handle.net/1721.1/41879,,A Distributed Building Evacuation System,"This thesis investigates the feasibility of a smart building evacuation system, capable of guiding occupants along safe paths to exits and responding to changing threats. Inspired by developments in amorphous computing, the design presented is scalable to large networks, robust to hardware and communication failure, and based on simple low-cost components. A simulation and hardware prototype demonstrate that this distributed building evacuation system is both feasible and cost effective.",MIT-CSAIL-TR-2008-043,82 p.,,,sensor networks; gradient; distributed control; synchronization; threat avoidance; fire; emergency,Mathematics and Computation,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
Trevor Darrell,"Quattoni, Ariadna; Carreras, Xavier; Collins, Michael; Darrell, Trevor",2008-07-24T20:00:14Z,2008-07-24T20:00:14Z,2008-07-23,http://hdl.handle.net/1721.1/41888,,A Projected Subgradient Method for Scalable Multi-Task Learning,"Recent approaches to multi-task learning have investigated the use of a variety of matrix norm regularization schemes for promoting feature sharing across tasks.In essence, these approaches aim at extending the l1 framework for sparse single task approximation to the multi-task setting. In this paper we focus on the computational complexity of training a jointly regularized model and propose an optimization algorithm whose complexity is linear with the number of training examples and O(n log n) with n being the number of parameters of the joint model. Our algorithm is based on setting jointly regularized loss minimization as a convex constrained optimization problem for which we develop an efficient projected gradient algorithm. The main contribution of this paper is the derivation of a gradient projection method with l1âˆ’âˆž constraints that can be performed efficiently and which has convergence rates.",MIT-CSAIL-TR-2008-045,8 p.,,,,Vision,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,
