dc.contributor.advisor,dc.contributor.author,dc.date.accessioned,dc.date.available,dc.date.issued,dc.identifier.uri,dc.relation.ispartofseries,dc.title,dc.description.abstract,dc.identifier.other,dc.format.extent,dc.format.mimetype,dc.language.iso,dc.subject,dc.contributor.other,dc.description.sponsorship,dc.rights,dc.rights.uri,dc.description,dc.identifier.citation,dc.contributor,dc.relation.isversionof,dc.description.degree,dc.relation.isreplacedby,dc.relation.uri,dc.relation.replaces,dc.relation,dc.date.updated,dc.identifier,dc.relation.isreferencedby,dc.contributor.department,dc.type,dspace.orderedauthors,dc.date.submitted,dc.contributor.editor,dc.coverage.spatial,dc.coverage.temporal,eprint.grantNumber,dc.relation.requires,dc.language.rfc3066,dc.publisher,dc.relation.haspart,dc.identifier.oclc,year,research_paper_id
Howard Shrobe,"Look, Gary; Peters, Stephen; Shrobe, Howard",2006-03-02T14:01:55Z,2006-03-02T14:01:55Z,2006-03-01,http://hdl.handle.net/1721.1/31222,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Plan-Driven Pervasive Computing,"The goal of human-centered, pervasive computing should be to hide the details of the computing environment, allowing users to concentrate on their goals, rather than on the direct management of devices. This paper describes a system that operates at the level of goals and plans, rather than individual resources. It adaptively selects from its plan library that plan which is likely to best achieve the userÂ’s goal in view of his preferences and current resource availability. Once the plan and resources are selected, it monitors the execution of the plan, dispatching subtasks when they are ready to be executed.",MIT-CSAIL-TR-2006-016,14p.; 18134831 bytes; 577156 bytes,application/postscript; application/pdf,en_US,,AIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,499
Daniel Jackson,"Torlak, Emina; Jackson, Daniel",2006-09-29T21:46:41Z,2006-09-29T21:46:41Z,2006-09-29,http://hdl.handle.net/1721.1/34218,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,The Design of a Relational Engine,"The key design challenges in the construction of a SAT-based relational engine are described, and novel techniques are proposed to address them.  An efficient engine must have a mechanism for specifying partial solutions, an effective symmetry detection and breaking scheme, and an economical translation from relational to boolean logic.  These desiderata are addressed with three new techniques: a symmetry detection algorithm that works in the presence of partial solutions, a sparse-matrix representation of relations, and a compact representation of boolean formulas inspired by boolean expression diagrams and reduced boolean circuits.  The presented techniques have been implemented and evaluated, with promising results.",MIT-CSAIL-TR-2006-068,11 p.; 444636 bytes; 1204261 bytes,application/pdf; application/postscript,en_US,,Software Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,550
William Freeman,"Fergus, Rob; Torralba, Antonio; Freeman, William T.",2006-09-07T18:46:57Z,2006-09-07T18:46:57Z,2006-09-02,http://hdl.handle.net/1721.1/33962,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Random Lens Imaging,"We call a random lens one for which the function relating the input light ray to the output sensor location is pseudo-random. Imaging systems with random lensescan expand the space of possible camera designs, allowing new trade-offs in optical design and potentially adding new imaging capabilities. Machine learningmethods are critical for both camera calibration and image reconstruction from the sensor data. We develop the theory and compare two different methods for calibration and reconstruction: an MAP approach, and basis pursuit from compressive sensing. We show proof-of-concept experimental results from a random lens made from a multi-faceted mirror, showing successful calibration and image reconstruction. We illustrate the potential for super-resolution and 3D imaging.",MIT-CSAIL-TR-2006-058,9 p.; 52671890 bytes; 1133927 bytes,application/postscript; application/pdf,en_US,,Vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,540
Trevor Darrell,"Grauman, Kristen; Darrell, Trevor",2006-03-20T19:24:36Z,2006-03-20T19:24:36Z,2006-03-18,http://hdl.handle.net/1721.1/31338,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Pyramid Match Kernels: Discriminative Classification with Sets of Image Features (version 2),"Discriminative learning is challenging when examples are sets of features, and the sets vary in cardinality and lack any sort of meaningful ordering.  Kernel-based classification methods can learn complex decision boundaries, but a kernel over unordered set inputs must somehow solve for correspondences -- generally a computationally expensive task that becomes impractical for largeset sizes.  We present a new fast kernel function which maps unordered feature sets to multi-resolution histograms and computes a weighted histogram intersection in this space.  This ``pyramid match"" computation is linear in the number of features, and it implicitly finds correspondences based on the finest resolution histogram cell where a matched pair first appears. Since the kerneldoes not penalize the presence of extra features, it is robust to clutter.  We show the kernel function is positive-definite, making it valid for use in learning algorithms whose optimal solutions are guaranteed only for Mercer kernels.  We demonstrate our algorithm on object recognition tasks and show it to be accurate and dramatically faster than current approaches.  (This tech report updates MIT-CSAIL-TR-2005-017 and the paper ""The Pyramid Match Kernel: Discriminative Classification with Sets of Images Features"" which appeared in the proceedings of ICCV 2005.)",MIT-CSAIL-TR-2006-020,10 p.; 7963746 bytes; 1702359 bytes,application/postscript; application/pdf,en_US,,Vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,503
Michael Ernst,"Kim, Sunghun; Artzi, Shay; Ernst, Michael D.",2007-11-20T15:45:09Z,2007-11-20T15:45:09Z,2007-11-20,http://hdl.handle.net/1721.1/39639,,ReCrash: Making Crashes Reproducible,"It is difficult to fix a problem without being able to reproduce it.However, reproducing a problem is often difficult and time-consuming.This paper proposes a novel algorithm, ReCrash, that generatesmultiple unit tests that reproduce a given program crash.ReCrash dynamically tracks method calls during every execution of the target program. If the program crashes, ReCrash saves information about the relevant method calls and uses the saved information to create unit tests reproducing the crash.We present reCrashJ an implementation of ReCrash for Java. reCrashJ reproducedreal crashes from javac, SVNKit, Eclipse JDT, and BST. reCrashJ is efficient, incurring 13%-64% performance overhead. If this overhead is unacceptable, then reCrashJ has another mode that has negligible overhead until a crash occurs and 0%-1.7% overhead until a second crash, at which point the test cases are generated.",MIT-CSAIL-TR-2007-054,9 p.,,,,Program Analysis,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,,2007,624
Howard Shrobe,"Shrobe, Howard; Knight, Thomas; Hon, Andre de",2007-05-30T18:01:22Z,2007-05-30T18:01:22Z,2007-05-30,http://hdl.handle.net/1721.1/37589,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,"TIARA:  Trust Management, Intrusion-tolerance, Accountability, and Reconstitution Architecture","The last 20 years have led to unprecedented improvements in chipdensity and system performance fueled mainly by Moore's Law.  Duringthe same time, system and application software have bloated, leadingto unmanageable complexity, vulnerability to attack, rigidity and lackof robustness and accountability. These problems arise from the factthat all key elements of the computational environment, from hardwarethrough system software and middleware to application code regard theworld as consisting of unconstrained ``raw seething bits''.  No elementof the entire stack is responsible for enforcing over-archingconventions of memory structuring or access control.  Outsiders mayeasily penetrate the system by exploiting vulnerabilities (e.g. bufferoverflows) arising from this lack of basic constraints. Attacks arenot easily contained, whether they originate from the clever outsiderwho penetrates the defenses or from the insider who exploits existingprivileges.  Finally, because there are no facilities for tracing theprovenance of data, even when an attack is detected, it is difficultif not impossible to tell which data are traceable to the attack andwhat data may still be trusted. We have abundant computational resources allowing us to fix thesecritical problems using a combination of hardware, system software,and programming language technology: In this report, we describe theTIARAproject, which is using these resources to design a newcomputer system thatis less vulnerable, more tolerant of intrusions, capable of recoveryfrom attacks, and accountable for their actions.  TIARA provides thesecapabilities without significant impact on overall system performance.  Itachieves these goals through the judicious use of a modest amountof extra, but reasonably generable purpose, hardware that is dedicatedto tracking the provenance of data at a very fine grained level, toenforcing access control policies, and to constructing a coherentobject-oriented model of memory.  This hardware runs in parallel withthe main data-paths of the system and operates on a set of extra bitstagging each word with data-type, bounds, access control andprovenance information. Operations that violate the intendedinvariants are trapped, while normal results are tagged withinformation derived from the tags of the input operands.This hardware level provides fine-grained support for a series ofsoftware layers that enable a variety of comprehensive access controlpolicies, self-adaptive computing, and fine-grained recoveryprocessing.  The first of these software layers establishes aconsistent object-oriented level of computing while higher layersestablish wrappers that may not be bypassed, access controls, dataprovenance tracking.  At the highest level we create the ``planlevel'' of computing in which code is executed in parallel with anabstract model (or executable specification) of the system that checkswhether the code behaves as intended.",MIT-CSAIL-TR-2007-028,18 p.,,,Security; Intrusion Tolerance; Tagged Architecture,AIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,597
Hal Abelson,"Ehrmann, Stephen C.; Gilbert, Steven W.; McMartin, Flora",2007-08-23T14:41:46Z,2007-08-23T14:41:46Z,2007-08-20,http://hdl.handle.net/1721.1/38482,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Factors Affecting the Adoption of Faculty-Developed Academic Software: A Study of Five iCampus Projects,"Initiated in 1999, iCampus is a research collaboration between Microsoft Research and MIT whose goal is to create and demonstrate technologies with the potential for revolutionary change throughout the university curriculum.” The program was made possible by a $25 million research grant from Microsoft to MIT, and involves extensive collaboration between MIT and Microsoft staff.<p />This assessment study by the TLT Group addresses the question: The TLT Group has been asked, “In light of the experience of iCampus, especially those projects selected by MIT and Microsoft for close study, what can be learned about priorities for educational technology initiatives in the future and about how the spread of such innovations can be more effectively supported?”<p />The major conclusions are that the five projects studied improved important elements of an MIT education by making learning more authentic, active, collaborative, and feedback-rich.  Nevertheless, wider adoption beyond MIT was extremely difficult to achieve, largely due to structure issues in universities that make it difficult for educational technology to spread beyond the initial innovators, even to other departments within the same institution.  The report includes recommendations for universities, external sponsors, and for MIT in particular, about steps to take to achieve more effective dissemination.",,149 p.,,,educational technology; educational assessment,iCampus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,611
Michael Ernst,"Papi, Matthew M.; Ali, Mahmood; Correa Jr., Telmo Luis; Perkins, Jeff H.; Ernst, Michael D.",2007-09-20T19:21:48Z,2007-09-20T19:21:48Z,2007-09-17,http://hdl.handle.net/1721.1/38878,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Pluggable type-checking for custom type qualifiers in Java,"We have created a framework for adding custom type qualifiers to the Javalanguage in a backward-compatible way.  The type system designer definesthe qualifiers and creates a compiler plug-in that enforces theirsemantics.  Programmers can write the type qualifiers in their programs andbe informed of errors or assured that the program is free of those errors.The system builds on existing Java tools and APIs.In order to evaluate our framework, we have written four type-checkersusing the framework:  for a non-null type system that can detect andprevent null pointer errors; for an interned type system that can detectand prevent equality-checking errors; for a reference immutability typesystem, Javari, that can detect and prevent mutation errors; and for areference and object immutability type system, IGJ, that can detect andprevent even more mutation errors.  We have conducted case studies usingeach checker to find real errors in existing software.  These case studiesdemonstrate that the checkers and the framework are practical and useful.",MIT-CSAIL-TR-2007-047,10 p.,,,,Program Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,617
Michael Ernst,"McCamant, Stephen; Ernst, Michael D.",2007-12-10T14:00:11Z,2007-12-10T14:00:11Z,2007-12-10,http://hdl.handle.net/1721.1/39812,,Quantitative Information Flow as Network Flow Capacity,"We present a new technique for determining how much information abouta program's secret inputs is revealed by its public outputs. Incontrast to previous techniques based on reachability from secretinputs (tainting), it achieves a more precise quantitative result bycomputing a maximum flow of information between the inputs andoutputs. The technique uses static control-flow regions to soundlyaccount for implicit flows via branches and pointer operations, butoperates dynamically by observing one or more program executions andgiving numeric flow bounds specific to them (e.g., ""17 bits""). Themaximum flow in a network also gives a minimum cut (a set of edgesthat separate the secret input from the output), which can be used toefficiently check that the same policy is satisfied on futureexecutions. We performed case studies on 5 real C, C++, and ObjectiveC programs, 3 of which had more than 250K lines of code. The toolchecked multiple security policies, including one that was violated bya previously unknown bug.",MIT-CSAIL-TR-2007-057,12 p.,,,Confidentiality; Privacy; Information disclosure; Tainting; Implicit flows; Valgrind; Memcheck,Program Analysis,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,,2007,627
Martin Rinard,"Lam, Patrick; Zee, Karen; Kuncak, Viktor; Rinard, Martin",2007-11-02T18:45:31Z,2007-11-02T18:45:31Z,2007-10-31,http://hdl.handle.net/1721.1/39419,,Set Interfaces for Generalized Typestate and Data Structure Consistency Verification,"Typestate systems allow the type of an object to change during its lifetime in the computation. Unlike standard type systems, they can enforce safety properties that depend on changing object states. We present a new, generalized formulation of typestate that models the typestate of an object through membership in abstract sets. This abstract set formulation enables developers to reason about cardinalities of sets, and in particular to state and verify the condition that certain sets are empty. We support hierarchical typestate classifications by specifying subset and disjointness properties over the typestate sets.We present our formulation of typestate in the context of the Hob program specification and verification framework. The Hob framework allows the combination of typestate analysis with powerful independently developed analyses such as shape analyses or theorem proving techniques. We implemented our analysis and annotated several programs (75-2500 lines of code) with set specifications. Our implementation includes several optimizations that improve the scalability of the analysis and a novel loop invariant inferencealgorithm that eliminates the need to specify loop invariants. We present experimental data demonstrating the effectiveness of our techniques.",MIT-CSAIL-TR-2007-049,30 p.,,,,Computer Architecture,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,,2007,620
Dina Katabi,"Woo, Grace Rusi; Kheradpour, Pouya; Katabi, Dina",2007-05-29T18:21:50Z,2007-05-29T18:21:50Z,2007-05-29,http://hdl.handle.net/1721.1/37587,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Beyond the Bits: Cooperative Packet Recovery Using Physical Layer Information,"Wireless networks can suffer from high packet loss rates.  This paper shows that the loss rate can be significantly reduced by exposing information readily available at the physical layer. We make the physical layer convey an estimate of its confidence that a particular bit is ``0'' or ``1'' to the higher layers.  When used with cooperative design, this information dramatically improves the throughput of the wireless network. Access points that hear the same transmission combine their information to correct bits in a packet with minimal overhead. Similarly, a receiver may combine multiple erroneous transmissions to recover a correct packet.  We analytically prove that our approach minimizes the errors in packet recovery.  We also experimentally demonstrate its benefits using a testbed of GNU software radios. The results show that our approach can reduce loss rate by up to 10x in comparison with the current approach, and significantly outperforms prior cooperation proposals.",MIT-CSAIL-TR-2007-027,12 p.,,,,Networks & Mobile Systems,,,,PhD thesis,,,,,,,,,,,,,,,,,,,,,,,,,2007,596
Howard Shrobe,"Shrobe, Howard; Laddaga, Robert; Balzer, Robert; Goldman, Neil; Wile, Dave; Tallis, Marcelo; Hollebeek, Tim; Egyed, Alexander",2007-04-10T21:41:47Z,2007-04-10T21:41:47Z,2007-04-10,http://hdl.handle.net/1721.1/37151,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Self-Adaptive Systems for Information Survivability: PMOP and AWDRAT,"Information systems form the backbones of the critical infrastructures of modern societies. Unfortunately, these systems are highly vulnerable to attacks that can result in enormous damage. Furthermore, traditional approaches to information security have not provided all the protections necessary to defeat and recover from a concerted attack; in particular, they are largely irrelevant to the problem of defending against attacks launched by insiders.This paper describes two related systems PMOP and AWDRAT that were developed during the DARPA Self Regenerative Systems program. PMOP defends against insider attacks while AWDRAT is intended to detect compromises to software systems. Both rely on self-monitoring, diagnosis and self-adaptation. We describe both systems and show the results of experiments with each.",MIT-CSAIL-TR-2007-023,10 p.,,,Information Survivability; Model Based Diagnosis; Adaptive Software,AIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,590
Hal Abelson,"Ehrmann, Stephen C.; Gilbert, Steven W.; McMartin, Flora; Abelson, Harold; Long, Philip D.",2007-08-27T19:01:47Z,2007-08-27T19:01:47Z,2007-10-20,http://hdl.handle.net/1721.1/38487,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Factors Affecting the Adoption of Faculty-Developed Academic Software: A Study of Five iCampus Projects,"Instruction in higher education must adapt more rapidly to: changes in workforce needs, global issues, advances in disciplines, and resource constraints.  The pace of such improvement depends on the speed with which new ideas and materials are adopted across institutions. In 1999 Microsoft pledged $25 million and staff support for iCampus, a seven-year MIT project to develop pioneering uses of educational technology. The TLT Group studied five iCampus projects in order to identify factors affecting institutionalization and widespread dissemination. Among the factors impeding adoption: lack of rewards and support for faculty to adopt innovations; faculty isolation; and a lack of attention to adoption issues among projects selected for funding. The study made recommendations for universities, foundations, government agencies and corporations: 1) continue making education more authentic, active, collaborative, and feedback-rich; 2) create demand to adopt ideas and materials from other sources by encouraging all faculty members to improve and document learning in their programs, year after year; 3) nurture coalitions for instructional improvement, across and within institutions; 4) create more effective higher education – corporate alliances; and 5) improve institutional services to support faculty in educational design, software development, assessment methods, formative evaluation, and/or in sharing ideas with others who teach comparable courses.",MIT-CSAIL-TR-2007-045,6 p.,,,educational technology; educational innovation,iCampus,,,,,37th ASEE/IEEE Frontiers in Education Conference,,,,,,,,,,,,,,,,,,,,,,,,2007,618
Silvio Micali,"Micali, Silvio; Valiant, Paul",2008-06-30T13:00:26Z,2008-06-30T13:00:26Z,2007- 11-02,http://hdl.handle.net/1721.1/41872,,Revenue in Truly Combinatorial Auctions and Adversarial Mechanism Design,"Little is known about generating revenue in UNRESTRICTED combinatorial auctions. (In particular, the VCG mechanism has no revenue guarantees.) In this paper we determine how much revenue can be guaranteed in such auctions. Our analysis holds both in the standard model, when all players are independent and rational, as well as in a most adversarial model, where some players may bid collusively or even totally irrationally.",MIT-CSAIL-TR-2008-039,30 p.,,,Revenue Benchmarks; Revenue lowerbounds; revenue upperbounds; Probabilistic DST mechanisms,Theory of Computation,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory; ,,,,,,,,,,,,,,,,,2007,565
Una-May O'Reilly,"Salameh, Lynne Rafik",2007-06-06T12:21:53Z,2007-06-06T12:21:53Z,2007-06-05,http://hdl.handle.net/1721.1/37597,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,An Analysis of Posynomial MOSFET Models Using Genetic Algorithms and Visualization,"Analog designers are interested in optimization tools which automate the process of circuit sizing. Geometric programming, which uses posynomial models of MOSFET parameters, represents one such tool. Genetic algorithms have been used to evolve posynomial models for geometric programs, with a reasonable mean error when modeling MOSFET parameters. By visualizing MOSFET data using two dimensional plots, this thesis investigates the behavior of various MOSFET small and large signal parameters and consequently proposes a lower bound on the maximum error, which a posynomial cannot improve upon. It then investigates various error metrics which can be used to balance the mean and maximum errors generated by posynomial MOSFET models. Finally, the thesis uses empirical data to verify the existence of the lower bound, and compares the maximum error from various parameters modeled by the genetic algorithm and by monomial fitting. It concludes that posynomial MOSFET models suffer from inherent inaccuracies. Additionally, although genetic algorithms improve on the maximum model error, the improvement, in general, does not vastly surpass results obtained through monomial fitting, which is a less computationally intensive method. Genetic algorithms are hence best used when modeling partially convex MOSFET parameters, such as r0 .",MIT-CSAIL-TR-2007-032,90 p,,,limiations; convex optimization,Humanoid Robotics,,,,MEng thesis,,,,,,,,,,,,,,,,,,,,,,,,,2007,599
Gerald Sussman,"Beal, Jacob; Bachrach, Jonathan; Tobenkin, Mark",2007-08-27T14:23:35Z,2007-08-27T14:23:35Z,2007-08-24,http://hdl.handle.net/1721.1/38484,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Constraint and Restoring Force,"Long-lived sensor network applications must be able to self-repair and adapt to changing demands. We introduce a new approach for doing so: Constraint and Restoring Force. CRF is a physics-inspired framework for computing scalar fields across a sensor network with occasional changes. We illustrate CRF’s usefulness by applying it to gradients, a common building block for sensor network systems. The resulting algorithm, CRF-Gradient, determines locally when to self-repair and when to stop and save energy. CRF-Gradient is self-stabilizing, converges in O(diameter) time, and has been verified experimentally in simulation and on a network of Mica2 motes. Finally we show how CRF can be applied to other algorithms as well, such as the calculation of probability fields.",MIT-CSAIL-TR-2007-044,12 p.,,,amorphous computing; spatial computing; Proto,Mathematics and Computation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,614
Karen Sollins,"Hansen, Richard E.",2007-06-22T12:41:46Z,2007-06-22T12:41:46Z,2007-06-21,http://hdl.handle.net/1721.1/37601,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Stateful Anycast for DDoS Mitigation,"Distributed denial-of-service (DDoS) attacks can easily cripple victim hosts or networks, yet effective defenses remain elusive.  Normal anycast can be used to force the diffusion of attack traffic over a group of several hosts to increase the difficulty of saturating resources at or near any one of the hosts.  However, because a packet sent to the anycast group may be delivered to any member, anycast does not support protocols that require a group member to maintain state (such as TCP).  This makes anycast impractical for most applications of interest.This document describes the design of Stateful Anycast, a conceptual anycast-like network service based on IP anycast.  Stateful Anycast is designed to support stateful sessions without losing anycast’s ability to defend against DDoS attacks.  Stateful Anycast employs a set of anycasted proxies to direct packets to the proper stateholder.  These proxies provide DDoS protection by dropping a session’s packets upon group member request.  Stateful Anycast is incrementally deployable and can scale to support many groups.",MIT-CSAIL-TR-2007-035,103 p.,,,,Advanced Network Architecture,,,,MEng thesis,,,,,,,,,,,,,,,,,,,,,,,,,2007,602
Rodney Brooks,"Aryananda, Lijin",2007-04-04T17:21:51Z,2007-04-04T17:21:51Z,2007-04-03,http://hdl.handle.net/1721.1/37144,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,A Few Days of A Robot's Life in the Human's World: Toward Incremental Individual Recognition,"This thesis presents an integrated framework and implementation for Mertz, an expressive robotic creature for exploring the task of face recognition through natural interaction in an incremental and unsupervised fashion.  The goal of this thesis is to advance toward a framework which would allow robots to incrementally ``get to know'' a set of familiar individuals in a natural and extendable way.  This thesis is motivated by the increasingly popular goal of integrating robots in the home.  In order to be effective in human-centric tasks, the robots must be able to not only recognize each family member, but also to learn about the roles of various people in the household.In this thesis, we focus on two particular limitations of the current technology.  Firstly, most of face recognition research concentrate on the supervised classification problem.  Currently, one of the biggest problems in face recognition is how to generalize the system to be able to recognize new test data that vary from the training data.  Thus, until this problem is solved completely, the existing supervised approaches may require multiple manual introduction and labelling sessions to include training data with enough variations. Secondly, there is typically a large gap between research prototypes and commercial products, largely due to lack of robustness and scalability to different environmental settings.In this thesis, we propose an unsupervised approach which wouldallow for a more adaptive system which can incrementally update thetraining set with more recent data or new individuals over time.Moreover, it gives the robots a more natural {\em socialrecognition} mechanism to learn not only to recognize each person'sappearance, but also to remember some relevant contextualinformation that the robot observed during previous interactionsessions. Therefore, this thesis focuses on integrating anunsupervised and incremental face recognition system within aphysical robot which interfaces directly with humans through naturalsocial interaction.  The robot autonomously detects, tracks, andsegments face images during these interactions and automaticallygenerates a training set for its face recognition system.  Moreover,in order to motivate robust solutions and address scalabilityissues, we chose to put the robot, Mertz, in unstructured publicenvironments to interact with naive passersby, instead of with onlythe researchers within the laboratory environment.While an unsupervised and incremental face recognition system is acrucial element toward our target goal, it is only a part of thestory.  A face recognition system typically receives eitherpre-recorded face images or a streaming video from a static camera.As illustrated an ACLU review of a commercial face recognitioninstallation, a security application which interfaces with thelatter is already very challenging.  In this case, our target goalis a robot that can recognize people in a home setting. Theinterface between robots and humans is even more dynamic.  Both therobots and the humans move around.We present the robot implementation and its unsupervised incremental face recognition framework.  We describe analgorithm for clustering local features extracted from a large set of automatically generated face data.  We demonstrate the robot's capabilities and limitations in a series of experiments at a public lobby. In a final experiment, the robot interacted with a few hundred individuals in an eight day period and generated a training set of over a hundred thousand face images. We evaluate the clustering algorithm performance across a range of parameters on this automatically generated training data and also the Honda-UCSD video face database. Lastly, we present some recognition results using the self-labelled clusters.",MIT-CSAIL-TR-2007-022,244 p.,,,Humanoid robotic; Human robot interaction; Face recognition,Humanoid Robotics,,,,PhD thesis,,,,,,,,,,,,,,,,,,,,,,,,,2007,589
Gerald Sussman,"Beal, Jacob",2007-05-15T17:41:55Z,2007-05-15T17:41:55Z,2007-05-15,http://hdl.handle.net/1721.1/37336,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Developmental Cost for Models of Intelligence,"We can evaluate models of natural intelligence, as well as theirindividual components, by using a model of hardware and developmentcosts, ignoring almost all the details of biology.  The basic argumentis that neither the gross anatomy of the brain nor the behavior ofindividual cells nor the behavior of the whole poses sufficientconstraint on the algorithms that might run within the brain, but thatthe process of engineering an intelligence under this cost model posessimilar challenges to those faced by a human growing from a singlecell to an adult.  This will allow us to explore architectural ideasfreely, yet retain confidence that when a system works, the principlesallowing it to work are likely to be similar to those that allow humanintelligence to work.",MIT-CSAIL-TR-2007-026,4 p.,,,cognitive architectures; artificial intelligence,Mathematics and Computation,,,,,AAAI 2007 Workshop on Evaluating Architectures for Intelligence,,,,,,,,,,,,,,,,,,,,,,,,2007,594
Silvio Micali,"Valiant, Paul; Micali, Silvio",2007-11-02T20:30:07Z,2007-11-02T20:30:07Z,2007-11-02,http://hdl.handle.net/1721.1/39420,,Collusion-Resilient Revenue In Combinatorial Auctions,"In auctions of a single good, the second-price mechanism achieves, in dominantstrategies, a revenue benchmark that is naturally high and resilient to anypossible collusion.We show how to achieve, to the maximum extent possible, the same propertiesin combinatorial auctions.",MIT-CSAIL-TR-2007-052,20 p.,,,Worst Rational Setting; Natural Solution Pairs; Player-Monotone Benchmarks; Revenue Guarantees; Guaranteed Revenue,Theory of Computation,,,,,,,,,,,,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,,,,,,,,,,,,,,,,,2007,622
Gerald Sussman,"Beal, Jacob",2007-08-27T14:21:47Z,2007-08-27T14:21:47Z,2007-08-23,http://hdl.handle.net/1721.1/38483,Massachusetts Institute of Technology Computer Science and Artificial Intelligence Laboratory,Learning by Learning To Communicate,"Human intelligence is a product of cooperation among many different specialists.  Much of this cooperation must be learned, but we do not yet have a mechanism that explains how this might happen for the ""high-level"" agile cooperation that permeates our daily lives.I propose that the various specialists learn to cooperate by learning to communicate, basing this proposal on the phenomenon of ""communication bootstrapping,"" in which shared experiences form a basis for agreement on a system of signals.  In this dissertation, I lay out a roadmap for investigating this hypothesis, identifying problems that must be overcome in order to understand the capabilities of communication bootstrapping and in order to test whether it is exploited by human intelligence.I then demonstrate progress along the course of investigation laid out in my roadmap:* I establish a measure of ""developmental cost"" that allows me to eliminate many possible designs* I develop a method of engineering devices for use in models of intelligence, including characterizing their behavior under a wide variety of conditions and compensating for their misbehavior using ""failure simplification.""* I develop mechanisms that reliably produce communication bootstrapping such that it can be used to connect specialists in an engineered system.* I construct a demonstration system including a simulated world and pair of observers that learn world dynamics via communication bootstrapping.",MIT-CSAIL-TR-2007-042,218 p.,,,artificial intelligence; cognitive science,Mathematics and Computation,,,,PhD thesis,,,,,,,,,,,,,,,,,,,,,,,,,2007,612
